id,fechaAlta,hora,anamnesis,fechaAlta,eog,tratamiento,Temperatura,Peso,referencia,notaCaja,atendidoPor,pendiente,aFuturo,fechaAlta,fechaAlta,mascotumId,referenciumId,clienteId
1,2018-05-08T22:11:40.000Z,22:11:40,"Sin anamnesis",2018-05-08T22:11:40.000Z,VACUNA,SEXTUPLE,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-05-08T22:11:40.000Z,2018-05-08T22:11:40.000Z,3,1,1261
2,2022-01-15T12:00:00.000Z,12:00:00,"Mc: tenesmo hace más de 15 días. por momentos es diarreaica. Se alimentaba con pedigree. Se le viene agregando vaselina y aceite a la carne con arroz. y algo hace pero muy poco. Hoy no quiso comer.

Linfonodulos preescapular izquierdo aumentado. laríngeo bajo positivo. Gran molestia a nivel intestinal. no se logra percibir estructuras. Existe granado dolor en ano. se lo ve irritado y al evacuar los sacos anales se visualiza contenido espeso amarillento.
Se ausculta soplo cardiaco del lado izquierdo.

Tto: se indica perfil geriátrico y hemograma. electrocardiograma. cerenia y dipirona inyectable. spectyl 1 comp por día. continuar con dipirona en casa. laxavet en el alimento. dieta con gran porcentaje de fibra.",2022-01-15T12:00:00.000Z,"Consulta general","Sin tratamiento",39.5,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2022-01-15T12:00:00.000Z,2022-01-15T12:00:00.000Z,78,1,1349
3,2022-01-17T23:10:40.000Z,23:10:40,"Sin anamnesis",2022-01-17T23:10:40.000Z,EXAMEN,"Analisis de Laboratorio 0",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2022-01-17T23:10:40.000Z,2022-01-17T23:10:40.000Z,78,1,1349
4,2023-01-16T15:32:08.000Z,15:32:08,"concurre porque se repite el cuadro
ahora se ve una gran dilatacion de la zona perineal  (hernia?)
dolor y molestia
se da leve sedacion para palpacion e inspeccion de zona anal",2023-01-16T15:32:08.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2023-01-16T15:32:08.000Z,2023-01-16T15:32:08.000Z,78,1,1349
5,2023-01-17T18:09:18.000Z,18:09:18,"Se realiza citología de masa en región perineal y se evidencia un adenoma de glándula sebácea.",2023-01-17T18:09:18.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2023-01-17T18:09:18.000Z,2023-01-17T18:09:18.000Z,78,1,1349
6,2018-05-15T16:20:37.000Z,16:20:37,"Sin anamnesis",2018-05-15T16:20:37.000Z,DESPARASITACION,BRAVECTO,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-05-15T16:20:37.000Z,2018-05-15T16:20:37.000Z,3,1,1261
7,2020-12-01T20:19:48.000Z,20:19:48,"Sin anamnesis",2020-12-01T20:19:48.000Z,DESPARASITACION,APRAX,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2020-12-01T20:19:48.000Z,2020-12-01T20:19:48.000Z,3,1,1261
8,2021-06-05T21:57:53.000Z,21:57:53,"Sin anamnesis",2021-06-05T21:57:53.000Z,"Consulta general","Sin tratamiento",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2021-06-05T21:57:53.000Z,2021-06-05T21:57:53.000Z,3,1,1261
9,2021-10-14T12:54:37.000Z,12:54:37,"Sin anamnesis",2021-10-14T12:54:37.000Z,DESPARASITACION,APRAX,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2021-10-14T12:54:37.000Z,2021-10-14T12:54:37.000Z,3,1,1261
10,2023-10-25T11:37:28.000Z,11:37:28,"Sin anamnesis",2023-10-25T11:37:28.000Z,DESPARASITACION,"milbemicina y praziquantel",0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2023-10-25T11:37:28.000Z,2023-10-25T11:37:28.000Z,3,1,1261
11,2018-12-07T17:04:41.000Z,17:04:41,"Sin anamnesis",2018-12-07T17:04:41.000Z,DESPARASITACION,COMFORTIS,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-12-07T17:04:41.000Z,2018-12-07T17:04:41.000Z,6,1,1261
12,2023-04-18T18:27:54.000Z,18:27:54,"mc no camina bien no se levanta
MUCOSAS PALIDAS ALGO DESHIDRATADA
SATURACION 95
INCOORDINACION Y DEBILIDAD
FLUIDO  METABOLASE
pas 152 pad 94  PAM 110",2023-04-18T18:27:54.000Z,"Consulta general","Sin tratamiento",38,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2023-04-18T18:27:54.000Z,2023-04-18T18:27:54.000Z,78,1,1349
13,2018-05-09T17:47:44.000Z,17:47:44,"Sin anamnesis",2018-05-09T17:47:44.000Z,"Consulta general","Sin tratamiento",0,18,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-05-09T17:47:44.000Z,2018-05-09T17:47:44.000Z,8,1,1263
14,2018-05-12T16:30:22.000Z,16:30:22,"Sin anamnesis",2018-05-12T16:30:22.000Z,VACUNA,SEXTUPLE,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-05-12T16:30:22.000Z,2018-05-12T16:30:22.000Z,80,1,1351
15,2018-05-09T18:18:52.000Z,18:18:52,"Sin anamnesis",2018-05-09T18:18:52.000Z,VACUNA,SEXTUPLE,0,0,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,2018-05-09T18:18:52.000Z,2018-05-09T18:18:52.000Z,11,1,1266
